series_id,year,period,period_name,value,latest,footnote_code,footnote_text,date
CES0000000001,2024,M12,December,158942,False,,,2024-12-01
CES0000000001,2024,M11,November,158619,False,,,2024-11-01
CES0000000001,2024,M10,October,158358,False,,,2024-10-01
CES0000000001,2024,M09,September,158314,False,,,2024-09-01
CES0000000001,2024,M08,August,158074,False,,,2024-08-01
CES0000000001,2024,M07,July,158003,False,,,2024-07-01
CES0000000001,2024,M06,June,157915,False,,,2024-06-01
CES0000000001,2024,M05,May,157828,False,,,2024-05-01
CES0000000001,2024,M04,April,157635,False,,,2024-04-01
CES0000000001,2024,M03,March,157517,False,,,2024-03-01
CES0000000001,2024,M02,February,157271,False,,,2024-02-01
CES0000000001,2024,M01,January,157049,False,,,2024-01-01
CES0000000001,2023,M12,December,156930,False,,,2023-12-01
CES0000000001,2023,M11,November,156661,False,,,2023-11-01
CES0000000001,2023,M10,October,156520,False,,,2023-10-01
CES0000000001,2023,M09,September,156334,False,,,2023-09-01
CES0000000001,2023,M08,August,156176,False,,,2023-08-01
CES0000000001,2023,M07,July,156019,False,,,2023-07-01
CES0000000001,2023,M06,June,155871,False,,,2023-06-01
CES0000000001,2023,M05,May,155614,False,,,2023-05-01
CES0000000001,2023,M04,April,155387,False,,,2023-04-01
CES0000000001,2023,M03,March,155171,False,,,2023-03-01
CES0000000001,2023,M02,February,155086,False,,,2023-02-01
CES0000000001,2023,M01,January,154780,False,,,2023-01-01
CES0000000001,2022,M12,December,154336,False,,,2022-12-01
CES0000000001,2022,M11,November,154210,False,,,2022-11-01
CES0000000001,2022,M10,October,153913,False,,,2022-10-01
CES0000000001,2022,M09,September,153513,False,,,2022-09-01
CES0000000001,2022,M08,August,153286,False,,,2022-08-01
CES0000000001,2022,M07,July,153049,False,,,2022-07-01
CES0000000001,2022,M06,June,152353,False,,,2022-06-01
CES0000000001,2022,M05,May,151892,False,,,2022-05-01
CES0000000001,2022,M04,April,151651,False,,,2022-04-01
CES0000000001,2022,M03,March,151346,False,,,2022-03-01
CES0000000001,2022,M02,February,150875,False,,,2022-02-01
CES0000000001,2022,M01,January,150006,False,,,2022-01-01
CES0000000001,2021,M12,December,149781,False,,,2021-12-01
CES0000000001,2021,M11,November,149206,False,,,2021-11-01
CES0000000001,2021,M10,October,148569,False,,,2021-10-01
CES0000000001,2021,M09,September,147712,False,,,2021-09-01
CES0000000001,2021,M08,August,147246,False,,,2021-08-01
CES0000000001,2021,M07,July,146759,False,,,2021-07-01
CES0000000001,2021,M06,June,145828,False,,,2021-06-01
CES0000000001,2021,M05,May,145032,False,,,2021-05-01
CES0000000001,2021,M04,April,144611,False,,,2021-04-01
CES0000000001,2021,M03,March,144246,False,,,2021-03-01
CES0000000001,2021,M02,February,143422,False,,,2021-02-01
CES0000000001,2021,M01,January,142913,False,,,2021-01-01
CES0000000001,2020,M12,December,142548,False,,,2020-12-01
CES0000000001,2020,M11,November,142731,False,,,2020-11-01
CES0000000001,2020,M10,October,142461,False,,,2020-10-01
CES0000000001,2020,M09,September,141770,False,,,2020-09-01
CES0000000001,2020,M08,August,140819,False,,,2020-08-01
CES0000000001,2020,M07,July,139255,False,,,2020-07-01
CES0000000001,2020,M06,June,137671,False,,,2020-06-01
CES0000000001,2020,M05,May,133040,False,,,2020-05-01
CES0000000001,2020,M04,April,130424,False,,,2020-04-01
CES0000000001,2020,M03,March,150895,False,,,2020-03-01
CES0000000001,2020,M02,February,152292,False,,,2020-02-01
CES0000000001,2020,M01,January,152031,False,,,2020-01-01
